student,presentAllTests,filter_045-8h_2-3problems,filter_045-8h_predCeiling,filter_045-8h,complete_twoThirds,filter_predCeiling,test,timeOnTutor,problemsStarted,school,class,condition,condition2,sequence,form,duration,pretest_total,sum_rel_NL,sum_rel_comp,sum_rel_transfer,sum_rel_recUnit,sum_rel_total,sum_rel_NL_transfer,sum_rel_NL_transfer_recUnit,sum_rel_transfer_recUnit,pretest_total_median
Stu_7d1578f235968d6be18ac11a10ddf74b,1,1,0,1,1,0,1,2:33:02,112,1,5,5,circle,5,2,0:28:00,0.87962963,1,0.666666667,0.833333333,0.916666667,0.87962963,0.924242424,0.922222222,0.87037037,2
Stu_d757221580aa35e364fc6c637f24f75f,1,1,1,1,1,1,1,3:47:58,112,2,17,5,circle,17,2,0:22:00,0.338888889,0.1,0,0.666666667,0.541666667,0.338888889,0.357575758,0.406666667,0.611111111,1
Stu_768aeb481d43af8b886e4b3c2df317bf,1,1,1,1,1,1,1,3:36:01,126,1,4,4,increased,4,1,0:29:00,0.590740741,0.466666667,0.333333333,0.833333333,0.666666667,0.590740741,0.633333333,0.642222222,0.759259259,2
Stu_f042abe800ae35b3253132a2851314a5,1,1,1,1,1,1,1,7:18:29,126,3,23,3,interleaved,23,3,0:22:00,0.272222222,0.066666667,0.333333333,0.333333333,0.458333333,0.272222222,0.187878788,0.26,0.388888889,1
Stu_c7172525f837773c77976438a901b17f,1,1,1,1,1,1,1,5:39:51,112,1,2,6,rectangle,2,2,0:22:00,0.35,0.3,0,0.5,0.5,0.35,0.390909091,0.42,0.5,1
Stu_468304a5e611234fd501b01150c0e28b,1,1,1,1,1,1,1,3:01:08,118,1,3,7,numberline,3,2,0:19:00,0.481481481,0.333333333,0.5,0.833333333,0.25,0.481481481,0.56060606,0.477777778,0.574074074,1
Stu_310fea7d7a347617b97db08c6063f398,1,1,1,1,1,1,1,3:43:18,126,3,22,2,moderate,22,3,0:38:00,0.55462963,0.4,0.5,0.75,0.583333333,0.55462963,0.559090909,0.565555555,0.675925926,1
Stu_296d75f607d62ce8f3294e6bdd4a7d19,1,1,1,1,1,1,1,4:57:04,126,2,15,2,moderate,15,2,0:35:00,0.396296296,0.3,0.666666667,0.333333333,0.416666667,0.396296296,0.315151515,0.342222222,0.37037037,1
Stu_9ceb9f6037d633a8a84e40ab105822a7,1,1,1,1,1,1,1,3:06:07,126,2,15,1,blocked,15,2,0:20:00,0.388888889,0,0.666666667,0.5,0.625,0.388888889,0.227272727,0.333333333,0.555555556,1
Stu_56b7d83bf66949aa058953e7b1ba4788,1,1,1,1,1,1,1,3:16:48,126,3,22,2,moderate,22,3,0:41:00,0.412962963,0.433333333,0.833333333,0.166666667,0.375,0.412962963,0.312121212,0.328888889,0.259259259,1
Stu_54b0c10e7477a607ba0b98c48130c5d7,1,1,0,1,1,0,1,2:22:47,126,1,3,1,blocked,3,2,0:31:00,0.798148148,0.866666667,0.333333333,0.833333333,1,0.798148148,0.851515152,0.891111111,0.907407407,2
Stu_cadf37150207036570ea02e92ea8a6dd,1,1,0,1,1,0,1,2:42:44,112,1,3,5,circle,3,2,0:32:00,0.833333334,0.666666667,0.666666667,1,1,0.833333334,0.818181818,0.866666667,1,2
Stu_688127475328204a7a664517cbecc390,1,1,1,1,1,1,1,2:46:17,126,2,9,1,blocked,9,3,0:26:00,0.433333333,0.3,0.333333333,0.5,0.625,0.433333333,0.390909091,0.453333333,0.555555556,1
Stu_7e607f4af9a981c63dd0f2b5c76c21a6,1,1,1,1,1,1,1,3:03:59,126,3,23,4,increased,23,2,0:20:00,0.359259259,0.133333333,0.666666667,0.333333333,0.5,0.359259259,0.224242424,0.297777778,0.407407407,1
Stu_0be70eb2a871c319496ac62dfade9f8b,1,1,0,1,1,0,1,2:39:47,111,1,4,3,interleaved,4,2,0:16:00,0.766666667,0.8,0,1,1,0.766666667,0.890909091,0.92,1,2
Stu_56abc4df5c479634d7a22e5e3a16864b,1,1,0,1,1,0,1,6:58:09,126,3,23,3,interleaved,23,2,0:10:00,0.809259259,0.566666667,1,0.833333333,1,0.809259259,0.687878788,0.771111111,0.907407407,2
Stu_d10848b0b7b28d08e713bfef224d5db0,1,1,1,1,1,1,1,3:28:46,126,1,6,3,interleaved,6,2,0:18:00,0.72037037,0.3,1,0.833333333,1,0.72037037,0.542424242,0.664444444,0.907407407,2
Stu_c7cf07c89ea48f4069f3e0733f81dcf2,1,1,1,1,1,1,1,2:34:00,126,3,22,1,blocked,22,3,0:23:00,0.648148148,0.333333333,0.5,0.833333333,1,0.648148148,0.56060606,0.677777778,0.907407407,2
Stu_c2f9e895c596a2b8813adc3489fc5cba,1,1,1,1,1,1,1,7:12:14,126,3,23,4,increased,23,2,0:23:00,0.442592593,0.133333333,1,0.166666667,0.833333333,0.442592593,0.148484848,0.331111111,0.462962963,1
Stu_a5ea7ae2d49e9b048e72e76c3912ab24,1,1,1,1,1,1,1,3:39:13,126,3,20,3,interleaved,20,2,0:36:00,0.305555555,0,0.666666667,0.333333333,0.458333333,0.305555555,0.151515151,0.233333333,0.388888889,1
Stu_9d72f1246636f759829b1655cfb287af,1,1,1,1,1,1,1,3:36:17,96,3,20,5,circle,20,2,0:25:00,0.785185185,0.8,0.5,0.833333333,0.916666667,0.785185185,0.815151515,0.842222222,0.87037037,2
Stu_75776417f1526cfb557185486867f2ea,1,1,1,1,1,1,1,3:49:40,126,2,7,4,increased,7,2,0:20:00,0.294444444,0.133333333,0.333333333,0.166666667,0.666666667,0.294444444,0.148484848,0.286666667,0.388888889,1
Stu_4a18f835d0d51fefe9d17889c725c3bf,1,1,1,1,1,1,1,4:46:27,126,2,15,3,interleaved,15,2,0:27:00,0.782407407,0.666666667,1,0.75,0.833333333,0.782407407,0.704545455,0.738888889,0.787037037,2
Stu_0219136de66a5f3a0db28b2dd02a3dda,1,1,1,1,1,1,1,3:14:54,111,1,6,2,moderate,6,2,0:26:00,0.551851852,0.266666667,0.333333333,0.666666667,1,0.551851852,0.448484849,0.595555556,0.814814815,1
Stu_f4844c738cab499c40a07be5b4c4972e,1,1,1,1,1,1,1,2:09:56,126,4,29,2,moderate,29,3,0:23:00,0.566666667,0.866666667,0,0.666666667,0.416666667,0.566666667,0.775757576,0.68,0.555555556,2
Stu_becd00fb667e7fa692069afc423e7ca7,1,1,1,1,1,1,1,2:26:19,118,4,29,7,numberline,29,1,0:15:00,0.362962963,0.2,0.333333333,0.666666667,0.25,0.362962963,0.412121212,0.368888889,0.481481482,1
Stu_05e8954ca1a8c3a12436eca6835a621d,1,1,1,1,1,1,1,1:33:33,111,4,25,2,moderate,25,3,0:19:00,0.505555556,0.6,0.166666667,0.666666667,0.416666667,0.505555556,0.63030303,0.573333334,0.555555556,1
Stu_17ccef196180f04dd04afcd4eaf5f203,1,1,1,1,1,1,1,3:50:56,126,2,15,1,blocked,15,3,0:33:00,0.309259259,0.233333333,0,0.333333333,0.625,0.309259259,0.278787878,0.371111111,0.462962963,1
