sort,Sample Name,Anon Student Id,Condition,Session Id,Time,Day,monthVal,dayVal,date,Time Zone,Duration (sec),myDuration,myDuration_woTPA,Student Response Type,Student Response Subtype,studentResponseType_woTPA,Tutor Response Type,Tutor Response Subtype,Level(ProblemSet),Problem Name,Step Name,Attempt At Step,Outcome,Outcome_woTPA,Selection,Action,Input,Feedback Text,Feedback Classification,Help Level,Total Num Hints,KC(Default),KC Category(Default),KC(Single-KC),KC Category(Single-KC),KC(Unique-step),KC Category(Unique-step),School,Class,CF(tool_event_time),CF(tutor_event_time)
37928,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,29:24.0,05/19/10,5,19,5/19/10,UTC,2,00:02.0,00:02.0,ATTEMPT,,ATTEMPT,RESULT,,FractionStudy_BL1_ProblemSet1,1,done ButtonPressed,1,Correct,Correct,done,ButtonPressed,-1,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:29:24.91 UTC,2010/05/19 13:29:24.263 UTC
37929,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,29:36.0,05/19/10,5,19,5/19/10,UTC,0,00:12.0,,ATTEMPT,tutor-performed,,RESULT,,FractionStudy_BL1_ProblemSet1,2,_root goToStep,1,Correct,,_root,goToStep,1,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:29:36.825 UTC,2010/05/19 13:29:36.825 UTC
37930,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,29:36.0,05/19/10,5,19,5/19/10,UTC,0,00:00.0,,ATTEMPT,tutor-performed,,RESULT,,FractionStudy_BL1_ProblemSet1,2,startButton ButtonPressed,1,Correct,,startButton,ButtonPressed,-1,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:29:36.841 UTC,2010/05/19 13:29:36.841 UTC
37931,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,29:51.0,05/19/10,5,19,5/19/10,UTC,7.5,00:15.0,00:15.0,ATTEMPT,,ATTEMPT,RESULT,,FractionStudy_BL1_ProblemSet1,2,fract1_num1 UpdateTextArea,1,Correct,Correct,fract1_num1,UpdateTextArea,1,,,,,numSect_num,numSect,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:29:51.28 UTC,2010/05/19 13:29:51.44 UTC
37932,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,29:51.0,05/19/10,5,19,5/19/10,UTC,7.5,00:00.0,,ATTEMPT,tutor-performed,,RESULT,,FractionStudy_BL1_ProblemSet1,2,_root goToStep,2,Correct,,_root,goToStep,2,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:29:51.44 UTC,2010/05/19 13:29:51.60 UTC
37933,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,30:03.0,05/19/10,5,19,5/19/10,UTC,12,00:12.0,00:12.0,ATTEMPT,,ATTEMPT,RESULT,,FractionStudy_BL1_ProblemSet1,2,fract1_denom1 UpdateTextArea,1,InCorrect,InCorrect,fract1_denom1,UpdateTextArea,4,"No, this is not correct. How many blue sections do you need to completely fill the grey circle?",,,,numSect_denom,numSect,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:30:03.325 UTC,2010/05/19 13:30:03.497 UTC
37934,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,30:56.0,05/19/10,5,19,5/19/10,UTC,53,00:53.0,,HINT_REQUEST,,HINT_REQUEST,HINT_MSG,,FractionStudy_BL1_ProblemSet1,2,fract1_denom1 UpdateTextArea,2,Hint,Hint,hint_button,ButtonPressed,hint request,How many blue sections do you need to completely fill the grey circle?,,1,4,numSect_denom,numSect,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:30:56.402 UTC,2010/05/19 13:30:57.90 UTC
37935,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,31:08.0,05/19/10,5,19,5/19/10,UTC,12,00:12.0,,HINT_REQUEST,,HINT_REQUEST,HINT_MSG,,FractionStudy_BL1_ProblemSet1,2,fract1_denom1 UpdateTextArea,3,HINT,HINT,get_next_hint_button_mc,ButtonPressed,hint request,How many copies of one blue section would make the grey circle?,,2,4,numSect_denom,numSect,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:31:08.43 UTC,2010/05/19 13:31:08.59 UTC
37936,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,31:11.0,05/19/10,5,19,5/19/10,UTC,3,00:03.0,,HINT_REQUEST,,HINT_REQUEST,HINT_MSG,,FractionStudy_BL1_ProblemSet1,2,fract1_denom1 UpdateTextArea,4,HINT,HINT,get_next_hint_button_mc,ButtonPressed,hint request,You need two blue sections to completely fill the grey circle.,,3,4,numSect_denom,numSect,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:31:11.199 UTC,2010/05/19 13:31:11.215 UTC
37937,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,31:17.0,05/19/10,5,19,5/19/10,UTC,6,00:06.0,00:06.0,ATTEMPT,,ATTEMPT,RESULT,,FractionStudy_BL1_ProblemSet1,2,fract1_denom1 UpdateTextArea,5,Correct,Correct,fract1_denom1,UpdateTextArea,2,,,,,numSect_denom,numSect,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:31:17.808 UTC,2010/05/19 13:31:18.793 UTC
